"guideline","category","title","publication_date","extension","url","title_clean","publication_date_clean","extension_clean","filename","folder","full_path","downloaded","download_status","error"
"CG32","Background information","Scope: Nutrition support","10 October 2003","pdf","https://www.nice.org.uk/guidance/cg32/documents/scope-nutrition-support2","Scope_Nutrition_support","10_October_2003","pdf","Scope_Nutrition_support_10_October_2003.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Scope_Nutrition_support_10_October_2003.pdf",TRUE,"downloaded",
"CG32","Guideline Development Group Members","Guideline Development Group Members","27 January 2005","pdf","https://www.nice.org.uk/guidance/cg32/documents/guideline-development-group-members2","Guideline_Development_Group_Members","27_January_2005","pdf","Guideline_Development_Group_Members_27_January_2005.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Guideline_Development_Group_Members_27_January_2005.pdf",TRUE,"downloaded",
"CG32","List of stakeholders","List of stakeholders","07 February 2006","pdf","https://www.nice.org.uk/guidance/cg32/documents/nutrition-support-in-adults-list-of-stakeholders2","List_of_stakeholders","07_February_2006","pdf","List_of_stakeholders_07_February_2006.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/List_of_stakeholders_07_February_2006.pdf",TRUE,"downloaded",
"CG32","Nutrition support in adults clinical guideline - first consultation","Nutrition support in adults Clinical Guideline - first consultation, NICE guideline","09 May 2005","pdf","https://www.nice.org.uk/guidance/cg32/documents/nutrition-support-in-adults-clinical-guideline-first-consultation-nice-guideline2","Nutrition_support_in_adults_Clinical_Guideline_-_first_consultation,_NICE_guideline","09_May_2005","pdf","Nutrition_support_in_adults_Clinical_Guideline_-_first_consultation,_NICE_guideline_09_May_2005.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Nutrition_support_in_adults_Clinical_Guideline_-_first_consultation,_NICE_guideline_09_May_2005.pdf",TRUE,"downloaded",
"CG32","Nutrition support in adults clinical guideline - first consultation","Nutrition support in adults Clinical Guideline - first consultation, full guideline","09 May 2005","pdf","https://www.nice.org.uk/guidance/cg32/documents/nutrition-support-in-adults-clinical-guideline-first-consultation-full-guideline2","Nutrition_support_in_adults_Clinical_Guideline_-_first_consultation,_full_guideline","09_May_2005","pdf","Nutrition_support_in_adults_Clinical_Guideline_-_first_consultation,_full_guideline_09_May_2005.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Nutrition_support_in_adults_Clinical_Guideline_-_first_consultation,_full_guideline_09_May_2005.pdf",TRUE,"downloaded",
"CG32","Nutrition support in adults clinical guideline - first consultation","Nutrition support in adults Clinical Guideline - first consultation, full guideline, appendices","09 May 2005","pdf","https://www.nice.org.uk/guidance/cg32/documents/nutrition-support-in-adults-clinical-guideline-first-consultation-full-guideline-appendices2","Nutrition_support_in_adults_Clinical_Guideline_-_first_consultation,_full_guideline,_appendices","09_May_2005","pdf","Nutrition_support_in_adults_Clinical_Guideline_-_first_consultation,_full_guideline,_appendices_09_May_2005.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Nutrition_support_in_adults_Clinical_Guideline_-_first_consultation,_full_guideline,_appendices_09_May_2005.pdf",TRUE,"downloaded",
"CG32","Nutrition support in adults clinical guideline - first consultation","Nutrition support in adults Clinical guideline - first consultation, comments proforma","09 May 2005","docx","https://www.nice.org.uk/guidance/cg32/documents/nutrition-support-in-adults-clinical-guideline-first-consultation-comments-proforma2","Nutrition_support_in_adults_Clinical_guideline_-_first_consultation,_comments_proforma","09_May_2005","docx","Nutrition_support_in_adults_Clinical_guideline_-_first_consultation,_comments_proforma_09_May_2005.docx","D:/NICE_history/CG32","D:/NICE_history/CG32/Nutrition_support_in_adults_Clinical_guideline_-_first_consultation,_comments_proforma_09_May_2005.docx",TRUE,"downloaded",
"CG32","Other information","Evidence update","01 August 2013","pdf","https://www.nice.org.uk/guidance/cg32/documents/cg32-nutrition-support-in-adults-evidence-update2","Evidence_update","01_August_2013","pdf","Evidence_update_01_August_2013.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Evidence_update_01_August_2013.pdf",TRUE,"downloaded",
"CG32","Other information","Full guideline appendices","22 February 2006","pdf","https://www.nice.org.uk/guidance/cg32/documents/cg32-nutrition-support-in-adults-full-guideline-appendices2","Full_guideline_appendices","22_February_2006","pdf","Full_guideline_appendices_22_February_2006.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Full_guideline_appendices_22_February_2006.pdf",TRUE,"downloaded",
"CG32","Review documents","Review proposal consultation document","13 May 2011","pdf","https://www.nice.org.uk/guidance/cg32/documents/review-proposal-consultation-document2","Review_proposal_consultation_document","13_May_2011","pdf","Review_proposal_consultation_document_13_May_2011.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Review_proposal_consultation_document_13_May_2011.pdf",TRUE,"downloaded",
"CG32","Review documents","Review decision","21 June 2011","pdf","https://www.nice.org.uk/guidance/cg32/documents/cg32-nutrition-support-in-adults-review-decision2","Review_decision","21_June_2011","pdf","Review_decision_21_June_2011.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Review_decision_21_June_2011.pdf",TRUE,"downloaded",
"CG32","Review documents","Surveillance review decision","27 June 2014","pdf","https://www.nice.org.uk/guidance/cg32/documents/nutrition-support-in-adults-surveillance-review-decision2","Surveillance_review_decision","27_June_2014","pdf","Surveillance_review_decision_27_June_2014.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Surveillance_review_decision_27_June_2014.pdf",TRUE,"downloaded",
"CG32","Review documents","Review consultation comments table","29 December 2011","pdf","https://www.nice.org.uk/guidance/cg32/documents/cg32-nutrition-support-in-adults-review-consultation-comments-table2","Review_consultation_comments_table","29_December_2011","pdf","Review_consultation_comments_table_29_December_2011.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Review_consultation_comments_table_29_December_2011.pdf",TRUE,"downloaded",
"CG32","Second consultation","Second consultation: Appendices","26 August 2005","pdf","https://www.nice.org.uk/guidance/cg32/documents/nutrition-support-in-adults-second-consultation-appendices2","Second_consultation_Appendices","26_August_2005","pdf","Second_consultation_Appendices_26_August_2005.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Second_consultation_Appendices_26_August_2005.pdf",TRUE,"downloaded",
"CG32","Second consultation","Second consultation: Comments proforma","26 August 2005","docx","https://www.nice.org.uk/guidance/cg32/documents/nutrition-support-in-adults-second-consultation-comments-proforma2","Second_consultation_Comments_proforma","26_August_2005","docx","Second_consultation_Comments_proforma_26_August_2005.docx","D:/NICE_history/CG32","D:/NICE_history/CG32/Second_consultation_Comments_proforma_26_August_2005.docx",TRUE,"downloaded",
"CG32","Second consultation","Second consultation: Full guideline","26 August 2005","pdf","https://www.nice.org.uk/guidance/cg32/documents/nutrition-support-in-adults-second-consultation-full-guideline2","Second_consultation_Full_guideline","26_August_2005","pdf","Second_consultation_Full_guideline_26_August_2005.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Second_consultation_Full_guideline_26_August_2005.pdf",TRUE,"downloaded",
"CG32","Second consultation","Second consultation: Information for the public","26 August 2005","pdf","https://www.nice.org.uk/guidance/cg32/documents/nutrition-support-in-adults-second-consultation-information-for-the-public2","Second_consultation_Information_for_the_public","26_August_2005","pdf","Second_consultation_Information_for_the_public_26_August_2005.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Second_consultation_Information_for_the_public_26_August_2005.pdf",TRUE,"downloaded",
"CG32","Second consultation","Second consultation: NICE version","26 August 2005","pdf","https://www.nice.org.uk/guidance/cg32/documents/nutrition-support-in-adults-second-consultation-nice-version2","Second_consultation_NICE_version","26_August_2005","pdf","Second_consultation_NICE_version_26_August_2005.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Second_consultation_NICE_version_26_August_2005.pdf",TRUE,"downloaded",
"CG32","Stakeholder list updated","Stakeholder list","16 March 2017","pdf","https://www.nice.org.uk/guidance/cg32/documents/stakeholder-list-2","Stakeholder_list","16_March_2017","pdf","Stakeholder_list_16_March_2017.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Stakeholder_list_16_March_2017.pdf",TRUE,"downloaded",
"CG32","Surveillance consultation","Comments form","20 March 2017","docx","https://www.nice.org.uk/guidance/cg32/documents/comments-form","Comments_form","20_March_2017","docx","Comments_form_20_March_2017.docx","D:/NICE_history/CG32","D:/NICE_history/CG32/Comments_form_20_March_2017.docx",TRUE,"downloaded",
"CG32","Surveillance consultation","Surveillance review proposal","20 March 2017","pdf","https://www.nice.org.uk/guidance/cg32/documents/surveillance-review-proposal","Surveillance_review_proposal","20_March_2017","pdf","Surveillance_review_proposal_20_March_2017.pdf","D:/NICE_history/CG32","D:/NICE_history/CG32/Surveillance_review_proposal_20_March_2017.pdf",TRUE,"downloaded",
"CG50","2007/009 NICE asked to develop guidance on new treatments for breast and lung cancer, Crohn's disease, ulcerative colitis, obesity and rheumatoid arthritis","2007/009 NICE asked to develop guidance on new treatments for breast and lung cancer, Crohn's disease, ulcerative colitis, obesity and rheumatoid arthritis","07 February 2007","pdf","https://www.nice.org.uk/guidance/cg50/documents/2007009-nice-asked-to-develop-guidance-on-new-treatments-for-breast-and-lung-cancer-crohns-disease-ulcerative-colitis-obesity-and-rheumatoid-arthritis2","2007_009_NICE_asked_to_develop_guidance_on_new_treatments_for_breast_and_lung_cancer,_Crohn's_disease,_ulcerative_colitis,_obesity_and_rheumatoid_arthritis","07_February_2007","pdf","2007_009_NICE_asked_to_develop_guidance_on_new_treatments_for_breast_and_lung_cancer,_Crohn's_disease,_ulcerative_colitis,_obesity_and_rheumatoid_arthritis_07_February_2007.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/2007_009_NICE_asked_to_develop_guidance_on_new_treatments_for_breast_and_lung_cancer,_Crohn's_disease,_ulcerative_colitis,_obesity_and_rheumatoid_arthritis_07_February_2007.pdf",TRUE,"downloaded",
"CG50","2007/009 NICE asked to develop guidance on new treatments for breast and lung cancer, Crohn's disease, ulcerative colitis, obesity and rheumatoid arthritis","2007/009 NICE asked to develop guidance on new treatments for breast and lung cancer, Crohn's disease, ulcerative colitis, obesity and rheumatoid arthritis","07 February 2007","pdf","https://www.nice.org.uk/guidance/cg50/documents/2007009-nice-asked-to-develop-guidance-on-new-treatments-for-breast-and-lung-cancer-crohns-disease-ulcerative-colitis-obesity-and-rheumatoid-arthritis4","2007_009_NICE_asked_to_develop_guidance_on_new_treatments_for_breast_and_lung_cancer,_Crohn's_disease,_ulcerative_colitis,_obesity_and_rheumatoid_arthritis","07_February_2007","pdf","2007_009_NICE_asked_to_develop_guidance_on_new_treatments_for_breast_and_lung_cancer,_Crohn's_disease,_ulcerative_colitis,_obesity_and_rheumatoid_arthritis_07_February_2007_2.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/2007_009_NICE_asked_to_develop_guidance_on_new_treatments_for_breast_and_lung_cancer,_Crohn's_disease,_ulcerative_colitis,_obesity_and_rheumatoid_arthritis_07_February_2007_2.pdf",TRUE,"downloaded",
"CG50","Committee list updated","List of declarations of interest","27 March 2017","pdf","https://www.nice.org.uk/guidance/cg50/documents/list-of-declarations-of-interest","List_of_declarations_of_interest","27_March_2017","pdf","List_of_declarations_of_interest_27_March_2017.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/List_of_declarations_of_interest_27_March_2017.pdf",TRUE,"downloaded",
"CG50","Draft guidance consultation","Consultation - Appendices to the full guideline","05 April 2007","pdf","https://www.nice.org.uk/guidance/cg50/documents/acutely-ill-patients-in-hospital-consultation-appendices-to-the-full-guideline2","Consultation_-_Appendices_to_the_full_guideline","05_April_2007","pdf","Consultation_-_Appendices_to_the_full_guideline_05_April_2007.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/Consultation_-_Appendices_to_the_full_guideline_05_April_2007.pdf",TRUE,"downloaded",
"CG50","Draft guidance consultation","Consultation - comments form","05 April 2007","docx","https://www.nice.org.uk/guidance/cg50/documents/acutely-ill-patients-in-hospital-consultation-comments-form2","Consultation_-_comments_form","05_April_2007","docx","Consultation_-_comments_form_05_April_2007.docx","D:/NICE_history/CG50","D:/NICE_history/CG50/Consultation_-_comments_form_05_April_2007.docx",TRUE,"downloaded",
"CG50","Draft guidance consultation","Full guideline, draft for consultation","05 April 2007","pdf","https://www.nice.org.uk/guidance/cg50/documents/acutely-ill-patients-in-hospital-full-guideline-draft-for-consultation2","Full_guideline,_draft_for_consultation","05_April_2007","pdf","Full_guideline,_draft_for_consultation_05_April_2007.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/Full_guideline,_draft_for_consultation_05_April_2007.pdf",TRUE,"downloaded",
"CG50","Draft guidance consultation","List of stakeholders","31 July 2007","pdf","https://www.nice.org.uk/guidance/cg50/documents/acutely-ill-patients-in-hospital-list-of-stakeholders2","List_of_stakeholders","31_July_2007","pdf","List_of_stakeholders_31_July_2007.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/List_of_stakeholders_31_July_2007.pdf",TRUE,"downloaded",
"CG50","Final scope","Final scope","10 April 2007","pdf","https://www.nice.org.uk/guidance/cg50/documents/acutely-ill-patients-in-hospital-final-scope2","Final_scope","10_April_2007","pdf","Final_scope_10_April_2007.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/Final_scope_10_April_2007.pdf",TRUE,"downloaded",
"CG50","GDG membership","GDG membership","06 December 2006","pdf","https://www.nice.org.uk/guidance/cg50/documents/acutely-ill-patients-in-hospital-gdg-membership2","GDG_membership","06_December_2006","pdf","GDG_membership_06_December_2006.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/GDG_membership_06_December_2006.pdf",TRUE,"downloaded",
"CG50","Review documents","Review proposal consultation comments table","06 January 2011","pdf","https://www.nice.org.uk/guidance/cg50/documents/cg50-acutely-ill-patients-in-hospital-review-proposal-consultation-comments-table2","Review_proposal_consultation_comments_table","06_January_2011","pdf","Review_proposal_consultation_comments_table_06_January_2011.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/Review_proposal_consultation_comments_table_06_January_2011.pdf",TRUE,"downloaded",
"CG50","Review documents","Review proposal stakeholder consultation - 8-21 November 2010","08 November 2010","pdf","https://www.nice.org.uk/guidance/cg50/documents/cg50-acutely-ill-patients-in-hospital-review-proposal-stakeholder-consultation-821-november-20102","Review_proposal_stakeholder_consultation_-_8-21_November_2010","08_November_2010","pdf","Review_proposal_stakeholder_consultation_-_8-21_November_2010_08_November_2010.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/Review_proposal_stakeholder_consultation_-_8-21_November_2010_08_November_2010.pdf",TRUE,"downloaded",
"CG50","Review documents","Stakeholder comments proforma","08 November 2010","docx","https://www.nice.org.uk/guidance/cg50/documents/cg50-acutely-ill-patients-in-hospital-stakeholder-comments-proforma-2","Stakeholder_comments_proforma","08_November_2010","docx","Stakeholder_comments_proforma_08_November_2010.docx","D:/NICE_history/CG50","D:/NICE_history/CG50/Stakeholder_comments_proforma_08_November_2010.docx",TRUE,"downloaded",
"CG50","Review documents","Review decision","23 December 2010","pdf","https://www.nice.org.uk/guidance/cg50/documents/acutely-ill-patients-in-hospital-review-decision2","Review_decision","23_December_2010","pdf","Review_decision_23_December_2010.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/Review_decision_23_December_2010.pdf",TRUE,"downloaded",
"CG50","Stakeholder comments","Stakeholder comments","31 July 2007","pdf","https://www.nice.org.uk/guidance/cg50/documents/acutely-ill-patients-in-hospital-stakeholder-comments2","Stakeholder_comments","31_July_2007","pdf","Stakeholder_comments_31_July_2007.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/Stakeholder_comments_31_July_2007.pdf",TRUE,"downloaded",
"CG50","Stakeholder list updated","Stakeholder list","11 January 2016","pdf","https://www.nice.org.uk/guidance/cg50/documents/stakeholder-list","Stakeholder_list","11_January_2016","pdf","Stakeholder_list_11_January_2016.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/Stakeholder_list_11_January_2016.pdf",TRUE,"downloaded",
"CG50","Stakeholder list updated","Stakeholder list","11 November 2019","pdf","https://www.nice.org.uk/guidance/cg50/documents/stakeholder-list-3","Stakeholder_list","11_November_2019","pdf","Stakeholder_list_11_November_2019.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/Stakeholder_list_11_November_2019.pdf",TRUE,"downloaded",
"CG50","Surveillance consultation","Comments form","14 November 2019","docx","https://www.nice.org.uk/guidance/cg50/documents/comments-form-2","Comments_form","14_November_2019","docx","Comments_form_14_November_2019.docx","D:/NICE_history/CG50","D:/NICE_history/CG50/Comments_form_14_November_2019.docx",TRUE,"downloaded",
"CG50","Surveillance consultation","Surveillance review proposal","14 November 2019","pdf","https://www.nice.org.uk/guidance/cg50/documents/surveillance-review-proposal-2","Surveillance_review_proposal","14_November_2019","pdf","Surveillance_review_proposal_14_November_2019.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/Surveillance_review_proposal_14_November_2019.pdf",TRUE,"downloaded",
"CG50","Surveillance consultation: 2016","Comments form","14 January 2016","docx","https://www.nice.org.uk/guidance/cg50/documents/comments-form","Comments_form","14_January_2016","docx","Comments_form_14_January_2016.docx","D:/NICE_history/CG50","D:/NICE_history/CG50/Comments_form_14_January_2016.docx",TRUE,"downloaded",
"CG50","Surveillance consultation: 2016","Surveillance review proposal","14 January 2016","pdf","https://www.nice.org.uk/guidance/cg50/documents/surveillance-review-proposal","Surveillance_review_proposal","14_January_2016","pdf","Surveillance_review_proposal_14_January_2016.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/Surveillance_review_proposal_14_January_2016.pdf",TRUE,"downloaded",
"CG50","The guideline development process - an overview for stakeholders, the public and the NHS (third edition)","The guideline development process - an overview for stakeholders, the public and the NHS (third edition)","25 April 2007","pdf","https://www.nice.org.uk/guidance/cg50/documents/the-guideline-development-process-an-overview-for-stakeholders-the-public-and-the-nhs-third-edition2","The_guideline_development_process_-_an_overview_for_stakeholders,_the_public_and_the_NHS_(third_edition)","25_April_2007","pdf","The_guideline_development_process_-_an_overview_for_stakeholders,_the_public_and_the_NHS_(third_edition)_25_April_2007.pdf","D:/NICE_history/CG50","D:/NICE_history/CG50/The_guideline_development_process_-_an_overview_for_stakeholders,_the_public_and_the_NHS_(third_edition)_25_April_2007.pdf",TRUE,"downloaded",
"CG65","Addendum consultation","Equality impact assessment 3","07 October 2016","pdf","https://www.nice.org.uk/guidance/cg65/update/cg65-update-1/documents/equality-impact-assessment","Equality_impact_assessment_3","07_October_2016","pdf","Equality_impact_assessment_3_07_October_2016.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Equality_impact_assessment_3_07_October_2016.pdf",TRUE,"downloaded",
"CG65","Addendum consultation","Addendum","07 September 2016","pdf","https://www.nice.org.uk/guidance/cg65/update/cg65-update-1/documents/addendum","Addendum","07_September_2016","pdf","Addendum_07_September_2016.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Addendum_07_September_2016.pdf",TRUE,"downloaded",
"CG65","Addendum consultation","Short version of addendum","07 September 2016","pdf","https://www.nice.org.uk/guidance/cg65/update/cg65-update-1/documents/short-version-of-addendum","Short_version_of_addendum","07_September_2016","pdf","Short_version_of_addendum_07_September_2016.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Short_version_of_addendum_07_September_2016.pdf",TRUE,"downloaded",
"CG65","Equality and health inequalities assessment","Equality impact assessment","02 December 2016","pdf","https://www.nice.org.uk/guidance/cg65/update/cg65-update-1/documents/equality-impact-assessment-2","Equality_impact_assessment","02_December_2016","pdf","Equality_impact_assessment_02_December_2016.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Equality_impact_assessment_02_December_2016.pdf",TRUE,"downloaded",
"CG65","Guidance published","Guidance consultation comments and response","14 December 2016","pdf","https://www.nice.org.uk/guidance/cg65/update/cg65-update-1/documents/guidance-consultation-comments-and-response","Guidance_consultation_comments_and_response","14_December_2016","pdf","Guidance_consultation_comments_and_response_14_December_2016.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Guidance_consultation_comments_and_response_14_December_2016.pdf",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","Remit: Perioperative hypothermia","02 August 2005","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/remit-perioperative-hypothermia2","Remit_Perioperative_hypothermia","02_August_2005","pdf","Remit_Perioperative_hypothermia_02_August_2005.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Remit_Perioperative_hypothermia_02_August_2005.pdf",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","Perioperative hypothermia: list of stakeholders","03 January 2008","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/perioperative-hypothermia-list-of-stakeholders2","Perioperative_hypothermia_list_of_stakeholders","03_January_2008","pdf","Perioperative_hypothermia_list_of_stakeholders_03_January_2008.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Perioperative_hypothermia_list_of_stakeholders_03_January_2008.pdf",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","Perioperative hypothermia (inadvertent): review consultation document","04 August 2011","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/perioperative-hypothermia-inadvertent-review-consultation-document2","Perioperative_hypothermia_(inadvertent)_review_consultation_document","04_August_2011","pdf","Perioperative_hypothermia_(inadvertent)_review_consultation_document_04_August_2011.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Perioperative_hypothermia_(inadvertent)_review_consultation_document_04_August_2011.pdf",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","Perioperative hypothermia (inadvertent) guideline: Comments proforma","05 November 2007","docx","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/perioperative-hypothermia-inadvertent-guideline-comments-proforma2","Perioperative_hypothermia_(inadvertent)_guideline_Comments_proforma","05_November_2007","docx","Perioperative_hypothermia_(inadvertent)_guideline_Comments_proforma_05_November_2007.docx","D:/NICE_history/CG65","D:/NICE_history/CG65/Perioperative_hypothermia_(inadvertent)_guideline_Comments_proforma_05_November_2007.docx",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","Guideline development group for perioperative hypothermia","09 August 2006","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/guideline-development-group-for-perioperative-hypothermia2","Guideline_development_group_for_perioperative_hypothermia","09_August_2006","pdf","Guideline_development_group_for_perioperative_hypothermia_09_August_2006.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Guideline_development_group_for_perioperative_hypothermia_09_August_2006.pdf",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","Perioperative hypothermia: draft scope for consultation","09 May 2006","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/perioperative-hypothermia-draft-scope-for-consultation2","Perioperative_hypothermia_draft_scope_for_consultation","09_May_2006","pdf","Perioperative_hypothermia_draft_scope_for_consultation_09_May_2006.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Perioperative_hypothermia_draft_scope_for_consultation_09_May_2006.pdf",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","Perioperative hypothermia: final scope","12 October 2006","docx","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/perioperative-hypothermia-final-scope2","Perioperative_hypothermia_final_scope","12_October_2006","docx","Perioperative_hypothermia_final_scope_12_October_2006.docx","D:/NICE_history/CG65","D:/NICE_history/CG65/Perioperative_hypothermia_final_scope_12_October_2006.docx",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","Perioperative hypothermia: statement","12 October 2006","docx","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/perioperative-hypothermia-statement2","Perioperative_hypothermia_statement","12_October_2006","docx","Perioperative_hypothermia_statement_12_October_2006.docx","D:/NICE_history/CG65","D:/NICE_history/CG65/Perioperative_hypothermia_statement_12_October_2006.docx",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","Perioperative hypothermia: stakeholder comments and NCC responses on draft scope","14 March 2007","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/perioperative-hypothermia-stakeholder-comments-and-ncc-responses-on-draft-scope2","Perioperative_hypothermia_stakeholder_comments_and_NCC_responses_on_draft_scope","14_March_2007","pdf","Perioperative_hypothermia_stakeholder_comments_and_NCC_responses_on_draft_scope_14_March_2007.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Perioperative_hypothermia_stakeholder_comments_and_NCC_responses_on_draft_scope_14_March_2007.pdf",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","CG65 Perioperative hypothermia (inadvertent): review proposal","16 March 2015","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/cg65-perioperative-hypothermia-inadvertent-review-proposal2","CG65_Perioperative_hypothermia_(inadvertent)_review_proposal","16_March_2015","pdf","CG65_Perioperative_hypothermia_(inadvertent)_review_proposal_16_March_2015.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/CG65_Perioperative_hypothermia_(inadvertent)_review_proposal_16_March_2015.pdf",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","CG65 Perioperative hypothermia (inadvertent): stakeholder list","16 March 2015","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/cg65-perioperative-hypothermia-inadvertent-stakeholder-list2","CG65_Perioperative_hypothermia_(inadvertent)_stakeholder_list","16_March_2015","pdf","CG65_Perioperative_hypothermia_(inadvertent)_stakeholder_list_16_March_2015.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/CG65_Perioperative_hypothermia_(inadvertent)_stakeholder_list_16_March_2015.pdf",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","CG65 Perioperative hypothermia (inadvertent): review decision","18 November 2011","docx","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/cg65-perioperative-hypothermia-inadvertent-review-decision2","CG65_Perioperative_hypothermia_(inadvertent)_review_decision","18_November_2011","docx","CG65_Perioperative_hypothermia_(inadvertent)_review_decision_18_November_2011.docx","D:/NICE_history/CG65","D:/NICE_history/CG65/CG65_Perioperative_hypothermia_(inadvertent)_review_decision_18_November_2011.docx",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","Perioperative hypothermia (inadvertent): consultation comments","23 April 2008","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/perioperative-hypothermia-inadvertent-consultation-comments2","Perioperative_hypothermia_(inadvertent)_consultation_comments","23_April_2008","pdf","Perioperative_hypothermia_(inadvertent)_consultation_comments_23_April_2008.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Perioperative_hypothermia_(inadvertent)_consultation_comments_23_April_2008.pdf",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","The guideline development process - an overview for stakeholders, the public and the NHS (third edition)","25 April 2007","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/the-guideline-development-process-an-overview-for-stakeholders-the-public-and-the-nhs-third-edition2","The_guideline_development_process_-_an_overview_for_stakeholders,_the_public_and_the_NHS_(third_edition)","25_April_2007","pdf","The_guideline_development_process_-_an_overview_for_stakeholders,_the_public_and_the_NHS_(third_edition)_25_April_2007.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/The_guideline_development_process_-_an_overview_for_stakeholders,_the_public_and_the_NHS_(third_edition)_25_April_2007.pdf",TRUE,"downloaded",
"CG65","Original development on 01 April 2008","Perioperative hypothermia (inadvertent) guideline: guideline for consultation","25 October 2007","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/perioperative-hypothermia-inadvertent-guideline-guideline-for-consultation2","Perioperative_hypothermia_(inadvertent)_guideline_guideline_for_consultation","25_October_2007","pdf","Perioperative_hypothermia_(inadvertent)_guideline_guideline_for_consultation_25_October_2007.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Perioperative_hypothermia_(inadvertent)_guideline_guideline_for_consultation_25_October_2007.pdf",FALSE,"failed","Transferred a partial file [www.nice.org.uk]:
transfer closed with outstanding read data remaining"
